TWA\TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
96;0;1.234;2.467;3.701;4.934;5.687;6.44;7.09;7.74;8.28;8.82;9.42;10.02;10.625;11.23;11.602;11.974;12.216;12.458;12.788;13.118;13.458;13.798;13.987;14.176;14.417;14.658;14.809;14.96;15.149;15.348;15.301;15.255;15.208;15.162;15.115;15.068;15.022;14.975;14.929;14.882;14.8;14.719;14.637;14.556;14.474;14.392;14.311;14.229;14.148;14.066;13.938;13.809;13.681;13.553;13.425;13.296;13.168;13.04;12.911;12.783;12.655;12.526;12.398;12.27;12.142;12.013;11.885;11.757;11.628;11.5
97;0;1.23;2.459;3.689;4.918;5.679;6.44;7.1;7.76;8.295;8.83;9.435;10.04;10.655;11.27;11.634;11.998;12.267;12.536;12.851;13.166;13.511;13.856;14.044;14.232;14.474;14.716;14.878;15.04;15.228;15.426;15.379;15.332;15.284;15.237;15.19;15.143;15.096;15.048;15.001;14.954;14.877;14.8;14.722;14.645;14.568;14.491;14.414;14.336;14.259;14.182;14.052;13.923;13.793;13.664;13.534;13.404;13.275;13.145;13.016;12.886;12.756;12.627;12.497;12.368;12.238;12.108;11.979;11.849;11.72;11.59
98;0;1.226;2.451;3.677;4.902;5.671;6.44;7.11;7.78;8.31;8.84;9.45;10.06;10.685;11.31;11.666;12.022;12.318;12.614;12.914;13.214;13.564;13.914;14.101;14.288;14.531;14.774;14.947;15.12;15.307;15.504;15.456;15.408;15.361;15.313;15.265;15.217;15.169;15.122;15.074;15.026;14.953;14.88;14.808;14.735;14.662;14.589;14.516;14.444;14.371;14.298;14.167;14.036;13.905;13.774;13.644;13.513;13.382;13.251;13.12;12.989;12.858;12.727;12.596;12.465;12.335;12.204;12.073;11.942;11.811;11.68
99;0;1.222;2.443;3.665;4.886;5.663;6.44;7.12;7.8;8.325;8.85;9.465;10.08;10.715;11.35;11.698;12.046;12.369;12.692;12.977;13.262;13.617;13.972;14.158;14.344;14.588;14.832;15.016;15.2;15.386;15.582;15.534;15.485;15.437;15.388;15.34;15.292;15.243;15.195;15.146;15.098;15.03;14.961;14.893;14.824;14.756;14.688;14.619;14.551;14.482;14.414;14.282;14.15;14.017;13.885;13.753;13.621;13.489;13.356;13.224;13.092;12.96;12.828;12.695;12.563;12.431;12.299;12.167;12.034;11.902;11.77
100;0;1.218;2.435;3.653;4.87;5.655;6.44;7.13;7.82;8.34;8.86;9.48;10.1;10.745;11.39;11.73;12.07;12.42;12.77;13.04;13.31;13.67;14.03;14.215;14.4;14.645;14.89;15.085;15.28;15.47;15.66;15.611;15.562;15.513;15.464;15.415;15.366;15.317;15.268;15.219;15.17;15.106;15.042;14.978;14.914;14.85;14.786;14.722;14.658;14.594;14.53;14.396;14.263;14.129;13.996;13.862;13.729;13.596;13.462;13.329;13.195;13.061;12.928;12.795;12.661;12.528;12.394;12.261;12.127;11.994;11.86
101;0;1.216;2.432;3.648;4.864;5.642;6.42;7.12;7.82;8.345;8.87;9.485;10.1;10.745;11.39;11.751;12.112;12.461;12.81;13.094;13.378;13.717;14.056;14.259;14.462;14.716;14.97;15.164;15.358;15.548;15.74;15.691;15.642;15.592;15.543;15.494;15.445;15.396;15.346;15.297;15.248;15.184;15.12;15.056;14.992;14.928;14.864;14.8;14.736;14.672;14.608;14.475;14.343;14.21;14.078;13.945;13.812;13.68;13.547;13.415;13.282;13.149;13.017;12.884;12.752;12.619;12.486;12.354;12.221;12.089;11.956
102;0;1.215;2.429;3.644;4.858;5.629;6.4;7.11;7.82;8.35;8.88;9.49;10.1;10.745;11.39;11.772;12.154;12.502;12.85;13.148;13.446;13.764;14.082;14.303;14.524;14.787;15.05;15.243;15.436;15.626;15.82;15.771;15.721;15.672;15.622;15.573;15.524;15.474;15.425;15.375;15.326;15.262;15.198;15.134;15.07;15.006;14.942;14.878;14.814;14.75;14.686;14.554;14.423;14.291;14.159;14.028;13.896;13.764;13.632;13.501;13.369;13.237;13.106;12.974;12.842;12.711;12.579;12.447;12.315;12.184;12.052
103;0;1.213;2.426;3.639;4.852;5.616;6.38;7.1;7.82;8.355;8.89;9.495;10.1;10.745;11.39;11.793;12.196;12.543;12.89;13.202;13.514;13.811;14.108;14.347;14.586;14.858;15.13;15.322;15.514;15.704;15.9;15.85;15.801;15.751;15.702;15.652;15.602;15.553;15.503;15.454;15.404;15.34;15.276;15.212;15.148;15.084;15.02;14.956;14.892;14.828;14.764;14.633;14.502;14.372;14.241;14.11;13.979;13.848;13.718;13.587;13.456;13.325;13.194;13.064;12.933;12.802;12.671;12.54;12.41;12.279;12.148
104;0;1.212;2.423;3.634;4.846;5.603;6.36;7.09;7.82;8.36;8.9;9.5;10.1;10.745;11.39;11.814;12.238;12.584;12.93;13.256;13.582;13.858;14.134;14.391;14.648;14.929;15.21;15.401;15.592;15.782;15.98;15.93;15.88;15.831;15.781;15.731;15.681;15.631;15.582;15.532;15.482;15.418;15.354;15.29;15.226;15.162;15.098;15.034;14.97;14.906;14.842;14.712;14.582;14.452;14.322;14.192;14.063;13.933;13.803;13.673;13.543;13.413;13.283;13.153;13.023;12.894;12.764;12.634;12.504;12.374;12.244
105;0;1.21;2.42;3.63;4.84;5.59;6.34;7.08;7.82;8.365;8.91;9.505;10.1;10.745;11.39;11.835;12.28;12.625;12.97;13.31;13.65;13.905;14.16;14.435;14.71;15;15.29;15.48;15.67;15.86;16.06;16.01;15.96;15.91;15.86;15.81;15.76;15.71;15.66;15.61;15.56;15.496;15.432;15.368;15.304;15.24;15.176;15.112;15.048;14.984;14.92;14.791;14.662;14.533;14.404;14.275;14.146;14.017;13.888;13.759;13.63;13.501;13.372;13.243;13.114;12.985;12.856;12.727;12.598;12.469;12.34
106;0;1.206;2.412;3.618;4.824;5.572;6.32;7.06;7.8;8.355;8.91;9.505;10.1;10.745;11.39;11.854;12.318;12.674;13.03;13.37;13.71;13.972;14.234;14.483;14.732;15.03;15.328;15.548;15.768;15.968;16.176;16.126;16.076;16.027;15.977;15.927;15.877;15.827;15.778;15.728;15.678;15.612;15.546;15.479;15.413;15.347;15.281;15.215;15.148;15.082;15.016;14.888;14.76;14.633;14.505;14.377;14.249;14.121;13.994;13.866;13.738;13.61;13.482;13.355;13.227;13.099;12.971;12.843;12.716;12.588;12.46
107;0;1.202;2.404;3.606;4.808;5.554;6.3;7.04;7.78;8.345;8.91;9.505;10.1;10.745;11.39;11.873;12.356;12.723;13.09;13.43;13.77;14.039;14.308;14.531;14.754;15.06;15.366;15.616;15.866;16.076;16.292;16.242;16.193;16.143;16.094;16.044;15.994;15.945;15.895;15.846;15.796;15.728;15.659;15.591;15.522;15.454;15.386;15.317;15.249;15.18;15.112;14.985;14.859;14.732;14.606;14.479;14.352;14.226;14.099;13.973;13.846;13.719;13.593;13.466;13.34;13.213;13.086;12.96;12.833;12.707;12.58
108;0;1.198;2.396;3.594;4.792;5.536;6.28;7.02;7.76;8.335;8.91;9.505;10.1;10.745;11.39;11.892;12.394;12.772;13.15;13.49;13.83;14.106;14.382;14.579;14.776;15.09;15.404;15.684;15.964;16.184;16.408;16.359;16.309;16.26;16.21;16.161;16.112;16.062;16.013;15.963;15.914;15.843;15.773;15.702;15.632;15.561;15.49;15.42;15.349;15.279;15.208;15.083;14.957;14.832;14.706;14.581;14.456;14.33;14.205;14.079;13.954;13.829;13.703;13.578;13.452;13.327;13.202;13.076;12.951;12.825;12.7
109;0;1.194;2.388;3.582;4.776;5.518;6.26;7;7.74;8.325;8.91;9.505;10.1;10.745;11.39;11.911;12.432;12.821;13.21;13.55;13.89;14.173;14.456;14.627;14.798;15.12;15.442;15.752;16.062;16.292;16.524;16.475;16.426;16.376;16.327;16.278;16.229;16.18;16.13;16.081;16.032;15.959;15.886;15.814;15.741;15.668;15.595;15.522;15.45;15.377;15.304;15.18;15.056;14.931;14.807;14.683;14.559;14.435;14.31;14.186;14.062;13.938;13.814;13.689;13.565;13.441;13.317;13.193;13.068;12.944;12.82
110;0;1.19;2.38;3.57;4.76;5.5;6.24;6.98;7.72;8.315;8.91;9.505;10.1;10.745;11.39;11.93;12.47;12.87;13.27;13.61;13.95;14.24;14.53;14.675;14.82;15.15;15.48;15.82;16.16;16.4;16.64;16.591;16.542;16.493;16.444;16.395;16.346;16.297;16.248;16.199;16.15;16.075;16;15.925;15.85;15.775;15.7;15.625;15.55;15.475;15.4;15.277;15.154;15.031;14.908;14.785;14.662;14.539;14.416;14.293;14.17;14.047;13.924;13.801;13.678;13.555;13.432;13.309;13.186;13.063;12.94
111;0;1.185;2.369;3.554;4.738;5.479;6.22;6.95;7.68;8.285;8.89;9.486;10.082;10.726;11.37;11.92;12.47;12.88;13.29;13.63;13.97;14.268;14.566;14.73;14.894;15.194;15.494;15.837;16.18;16.449;16.718;16.646;16.6;16.553;16.507;16.461;16.415;16.369;16.322;16.276;16.23;16.155;16.08;16.004;15.929;15.854;15.779;15.704;15.628;15.553;15.478;15.356;15.235;15.113;14.992;14.87;14.748;14.627;14.505;14.384;14.262;14.14;14.019;13.897;13.776;13.654;13.532;13.411;13.289;13.168;13.046
112;0;1.179;2.358;3.537;4.716;5.458;6.2;6.92;7.64;8.255;8.87;9.467;10.064;10.707;11.35;11.91;12.47;12.89;13.31;13.65;13.99;14.296;14.602;14.785;14.968;15.238;15.508;15.854;16.2;16.498;16.796;16.701;16.657;16.614;16.57;16.527;16.484;16.44;16.397;16.353;16.31;16.235;16.159;16.084;16.008;15.933;15.858;15.782;15.707;15.631;15.556;15.436;15.316;15.195;15.075;14.955;14.835;14.715;14.594;14.474;14.354;14.234;14.114;13.993;13.873;13.753;13.633;13.513;13.392;13.272;13.152
113;0;1.174;2.347;3.521;4.694;5.437;6.18;6.89;7.6;8.225;8.85;9.448;10.046;10.688;11.33;11.9;12.47;12.9;13.33;13.67;14.01;14.324;14.638;14.84;15.042;15.282;15.522;15.871;16.22;16.547;16.874;16.755;16.715;16.674;16.634;16.593;16.552;16.512;16.471;16.431;16.39;16.314;16.239;16.163;16.088;16.012;15.936;15.861;15.785;15.71;15.634;15.515;15.396;15.278;15.159;15.04;14.921;14.802;14.684;14.565;14.446;14.327;14.208;14.09;13.971;13.852;13.733;13.614;13.496;13.377;13.258
114;0;1.174;2.347;3.521;4.694;5.416;6.16;6.86;7.56;8.195;8.83;9.429;10.028;10.669;11.31;11.89;12.47;12.91;13.35;13.69;14.03;14.352;14.674;14.895;15.116;15.326;15.536;15.888;16.24;16.596;16.952;16.81;16.772;16.735;16.697;16.659;16.621;16.583;16.546;16.508;16.47;16.394;16.318;16.243;16.167;16.091;16.015;15.939;15.864;15.788;15.712;15.595;15.477;15.36;15.242;15.125;15.008;14.89;14.773;14.655;14.538;14.421;14.303;14.186;14.068;13.951;13.834;13.716;13.599;13.481;13.364
115;0;1.175;2.35;3.525;4.7;5.435;6.17;6.83;7.52;8.165;8.81;9.41;10.01;10.65;11.29;11.88;12.47;12.92;13.37;13.71;14.05;14.38;14.71;14.95;15.19;15.37;15.55;15.905;16.26;16.645;17.03;16.865;16.83;16.795;16.76;16.725;16.69;16.655;16.62;16.585;16.55;16.474;16.398;16.322;16.246;16.17;16.094;16.018;15.942;15.866;15.79;15.674;15.558;15.442;15.326;15.21;15.094;14.978;14.862;14.746;14.63;14.514;14.398;14.282;14.166;14.05;13.934;13.818;13.702;13.586;13.47
116;0;1.166;2.332;3.498;4.664;5.41;6.156;6.798;7.48;8.125;8.77;9.359;9.948;10.599;11.25;11.851;12.452;12.901;13.35;13.701;14.052;14.373;14.694;14.957;15.22;15.418;15.616;15.927;16.238;16.664;17.09;16.855;16.822;16.79;16.757;16.724;16.691;16.658;16.626;16.593;16.56;16.489;16.418;16.346;16.275;16.204;16.133;16.062;15.99;15.919;15.848;15.733;15.618;15.502;15.387;15.272;15.157;15.042;14.926;14.811;14.696;14.581;14.466;14.35;14.235;14.12;14.005;13.89;13.774;13.659;13.544
117;0;1.157;2.314;3.471;4.628;5.385;6.142;6.78;7.44;8.085;8.73;9.308;9.886;10.548;11.21;11.822;12.434;12.882;13.33;13.692;14.054;14.366;14.678;14.964;15.25;15.466;15.682;15.949;16.216;16.683;17.15;16.878;16.815;16.784;16.754;16.723;16.692;16.662;16.631;16.601;16.57;16.504;16.437;16.371;16.304;16.238;16.172;16.105;16.039;15.972;15.906;15.792;15.677;15.563;15.448;15.334;15.22;15.105;14.991;14.876;14.762;14.648;14.533;14.419;14.304;14.19;14.076;13.961;13.847;13.732;13.618
118;0;1.148;2.296;3.444;4.592;5.36;6.128;6.77;7.412;8.045;8.69;9.257;9.824;10.497;11.17;11.793;12.416;12.863;13.31;13.683;14.056;14.359;14.662;14.971;15.28;15.514;15.748;15.971;16.194;16.702;17.21;16.961;16.828;16.779;16.75;16.722;16.694;16.665;16.637;16.608;16.58;16.518;16.457;16.395;16.334;16.272;16.21;16.149;16.087;16.026;15.964;15.85;15.737;15.623;15.51;15.396;15.282;15.169;15.055;14.942;14.828;14.714;14.601;14.487;14.374;14.26;14.146;14.033;13.919;13.806;13.692
119;0;1.139;2.278;3.417;4.556;5.335;6.114;6.76;7.406;8.016;8.65;9.206;9.762;10.446;11.13;11.764;12.398;12.844;13.29;13.674;14.058;14.352;14.646;14.978;15.31;15.562;15.814;15.993;16.172;16.721;17.27;17.044;16.876;16.808;16.747;16.721;16.695;16.669;16.642;16.616;16.59;16.533;16.476;16.42;16.363;16.306;16.249;16.192;16.136;16.079;16.022;15.909;15.796;15.684;15.571;15.458;15.345;15.232;15.12;15.007;14.894;14.781;14.668;14.556;14.443;14.33;14.217;14.104;13.992;13.879;13.766
120;0;1.13;2.26;3.39;4.52;5.31;6.1;6.75;7.4;8.04;8.68;9.16;9.7;10.395;11.09;11.735;12.38;12.825;13.27;13.665;14.06;14.345;14.63;14.985;15.34;15.61;15.88;16.015;16.15;16.74;17.33;17.127;16.924;16.851;16.778;16.72;16.696;16.672;16.648;16.624;16.6;16.548;16.496;16.444;16.392;16.34;16.288;16.236;16.184;16.132;16.08;15.968;15.856;15.744;15.632;15.52;15.408;15.296;15.184;15.072;14.96;14.848;14.736;14.624;14.512;14.4;14.288;14.176;14.064;13.952;13.84
121;0;1.119;2.238;3.357;4.476;5.278;6.08;6.72;7.36;8.002;8.644;9.128;9.64;10.345;11.05;11.705;12.36;12.805;13.25;13.654;14.058;14.353;14.648;15;15.352;15.636;15.92;16.046;16.172;16.731;17.29;17.11;16.93;16.827;16.759;16.691;16.644;16.635;16.627;16.618;16.61;16.553;16.496;16.439;16.382;16.325;16.268;16.211;16.154;16.097;16.04;15.932;15.824;15.716;15.608;15.501;15.393;15.285;15.177;15.069;14.961;14.853;14.745;14.637;14.529;14.422;14.314;14.206;14.098;13.99;13.882
122;0;1.108;2.216;3.324;4.432;5.246;6.06;6.69;7.32;7.964;8.608;9.096;9.584;10.295;11.01;11.675;12.34;12.785;13.23;13.643;14.056;14.361;14.666;15.015;15.364;15.662;15.96;16.077;16.194;16.722;17.25;17.093;16.936;16.804;16.74;16.677;16.614;16.598;16.606;16.613;16.62;16.558;16.496;16.434;16.372;16.31;16.248;16.186;16.124;16.062;16;15.896;15.792;15.689;15.585;15.481;15.377;15.273;15.17;15.066;14.962;14.858;14.754;14.651;14.547;14.443;14.339;14.235;14.132;14.028;13.924
123;0;1.097;2.194;3.291;4.388;5.214;6.04;6.66;7.28;7.926;8.572;9.064;9.556;10.245;10.97;11.645;12.32;12.765;13.21;13.632;14.054;14.369;14.684;15.03;15.376;15.688;16;16.108;16.216;16.713;17.21;17.076;16.942;16.808;16.722;16.663;16.604;16.562;16.584;16.607;16.63;16.563;16.496;16.429;16.362;16.295;16.228;16.161;16.094;16.027;15.96;15.86;15.761;15.661;15.561;15.462;15.362;15.262;15.162;15.063;14.963;14.863;14.764;14.664;14.564;14.465;14.365;14.265;14.165;14.066;13.966
124;0;1.086;2.172;3.258;4.344;5.182;6.02;6.63;7.24;7.888;8.536;9.032;9.528;10.228;10.93;11.615;12.3;12.745;13.19;13.621;14.052;14.377;14.702;15.045;15.388;15.714;16.04;16.139;16.238;16.704;17.17;17.059;16.948;16.837;16.726;16.649;16.595;16.541;16.563;16.602;16.64;16.568;16.496;16.424;16.352;16.28;16.208;16.136;16.064;15.992;15.92;15.824;15.729;15.633;15.538;15.442;15.346;15.251;15.155;15.06;14.964;14.868;14.773;14.677;14.582;14.486;14.39;14.295;14.199;14.104;14.008
125;0;1.075;2.15;3.225;4.3;5.15;6;6.6;7.2;7.85;8.5;9;9.5;10.245;10.99;11.625;12.28;12.725;13.17;13.61;14.05;14.385;14.72;15.06;15.4;15.74;16.08;16.17;16.26;16.695;17.13;17.042;16.954;16.866;16.778;16.69;16.602;16.537;16.542;16.596;16.65;16.573;16.496;16.419;16.342;16.265;16.188;16.111;16.034;15.957;15.88;15.789;15.697;15.606;15.514;15.423;15.331;15.24;15.148;15.057;14.965;14.874;14.782;14.691;14.599;14.508;14.416;14.325;14.233;14.142;14.05
126;0;1.06;2.12;3.18;4.24;5.1;5.96;6.57;7.18;7.81;8.44;8.957;9.474;10.213;10.952;11.58;12.208;12.673;13.15;13.59;14.03;14.375;14.72;15.07;15.42;15.76;16.1;16.17;16.24;16.666;17.092;17.012;16.932;16.853;16.773;16.693;16.613;16.533;16.491;16.56;16.63;16.549;16.468;16.388;16.307;16.226;16.145;16.064;15.984;15.903;15.822;15.734;15.647;15.56;15.472;15.385;15.297;15.21;15.122;15.035;14.947;14.86;14.772;14.685;14.597;14.51;14.422;14.335;14.247;14.16;14.072
127;0;1.045;2.09;3.135;4.18;5.05;5.92;6.54;7.16;7.77;8.38;8.914;9.448;10.181;10.914;11.535;12.156;12.621;13.13;13.57;14.01;14.365;14.72;15.08;15.44;15.78;16.12;16.17;16.22;16.637;17.054;16.982;16.911;16.839;16.768;16.696;16.624;16.553;16.481;16.525;16.61;16.525;16.441;16.356;16.272;16.187;16.102;16.018;15.933;15.849;15.764;15.681;15.597;15.514;15.43;15.347;15.263;15.18;15.096;15.013;14.929;14.846;14.762;14.679;14.595;14.512;14.428;14.345;14.261;14.178;14.094
128;0;1.03;2.06;3.09;4.12;5;5.88;6.51;7.14;7.73;8.32;8.871;9.422;10.149;10.876;11.49;12.104;12.572;13.11;13.55;13.99;14.355;14.72;15.09;15.46;15.8;16.14;16.17;16.2;16.608;17.016;16.953;16.889;16.826;16.762;16.699;16.636;16.572;16.509;16.489;16.59;16.502;16.413;16.325;16.236;16.148;16.06;15.971;15.883;15.794;15.706;15.626;15.547;15.468;15.388;15.309;15.229;15.15;15.07;14.991;14.911;14.832;14.752;14.673;14.593;14.514;14.434;14.355;14.275;14.196;14.116
129;0;1.015;2.03;3.045;4.06;4.95;5.84;6.48;7.12;7.69;8.26;8.828;9.396;10.117;10.838;11.445;12.052;12.586;13.12;13.53;13.97;14.345;14.72;15.1;15.48;15.82;16.16;16.17;16.18;16.579;16.978;16.923;16.868;16.812;16.757;16.702;16.647;16.592;16.536;16.481;16.57;16.478;16.386;16.293;16.201;16.109;16.017;15.925;15.832;15.74;15.648;15.572;15.497;15.421;15.346;15.271;15.195;15.12;15.044;14.969;14.893;14.818;14.742;14.667;14.591;14.516;14.44;14.365;14.289;14.214;14.138
130;0;1;2;3;4;4.9;5.8;6.45;7.1;7.65;8.2;8.785;9.37;10.085;10.8;11.4;12;12.6;13.2;13.51;13.95;14.335;14.72;15.11;15.5;15.84;16.18;16.17;16.16;16.55;16.94;16.893;16.846;16.799;16.752;16.705;16.658;16.611;16.564;16.517;16.55;16.454;16.358;16.262;16.166;16.07;15.974;15.878;15.782;15.686;15.59;15.519;15.447;15.376;15.304;15.232;15.161;15.09;15.018;14.947;14.875;14.804;14.732;14.66;14.589;14.518;14.446;14.375;14.303;14.232;14.16
131;0;0.985;1.97;2.955;3.94;4.83;5.72;6.39;7.06;7.58;8.1;8.688;9.276;9.988;10.7;11.27;11.84;12.48;13.12;13.427;13.882;14.291;14.7;15.09;15.48;15.83;16.18;16.16;16.14;16.53;16.92;16.873;16.826;16.779;16.732;16.685;16.638;16.591;16.544;16.497;16.53;16.434;16.338;16.243;16.147;16.051;15.955;15.859;15.764;15.668;15.572;15.501;15.429;15.358;15.286;15.215;15.143;15.072;15;14.929;14.857;14.786;14.714;14.643;14.571;14.5;14.428;14.357;14.285;14.214;14.142
132;0;0.97;1.94;2.91;3.88;4.76;5.64;6.33;7.02;7.51;8;8.591;9.182;9.891;10.6;11.14;11.68;12.36;13.04;13.344;13.814;14.247;14.68;15.07;15.46;15.82;16.18;16.15;16.12;16.51;16.9;16.853;16.806;16.759;16.712;16.665;16.618;16.571;16.524;16.477;16.51;16.414;16.319;16.223;16.128;16.032;15.936;15.841;15.745;15.65;15.554;15.482;15.411;15.34;15.268;15.197;15.125;15.053;14.982;14.911;14.839;14.767;14.696;14.625;14.553;14.482;14.41;14.339;14.267;14.196;14.124
133;0;0.955;1.91;2.865;3.82;4.69;5.56;6.27;6.98;7.44;7.9;8.494;9.088;9.794;10.5;11.01;11.52;12.24;12.96;13.261;13.746;14.203;14.66;15.05;15.44;15.81;16.18;16.14;16.1;16.49;16.88;16.833;16.786;16.739;16.692;16.645;16.598;16.551;16.504;16.457;16.49;16.395;16.299;16.204;16.108;16.013;15.918;15.822;15.727;15.631;15.536;15.465;15.393;15.321;15.25;15.179;15.107;15.036;14.964;14.893;14.821;14.75;14.678;14.607;14.535;14.464;14.392;14.321;14.249;14.178;14.106
134;0;0.94;1.88;2.82;3.76;4.62;5.48;6.21;6.94;7.37;7.8;8.397;8.994;9.697;10.4;10.88;11.36;12.12;12.88;13.178;13.678;14.159;14.64;15.03;15.42;15.8;16.18;16.13;16.08;16.47;16.86;16.813;16.766;16.719;16.672;16.625;16.578;16.531;16.484;16.437;16.47;16.375;16.28;16.184;16.089;15.994;15.899;15.804;15.708;15.613;15.518;15.446;15.375;15.303;15.232;15.161;15.089;15.018;14.946;14.875;14.803;14.731;14.66;14.589;14.517;14.446;14.374;14.303;14.231;14.16;14.088
135;0;0.925;1.85;2.775;3.7;4.55;5.4;6.15;6.9;7.3;7.7;8.3;8.9;9.6;10.3;10.75;11.2;12;12.8;13.1;13.61;14.115;14.62;15.01;15.4;15.79;16.18;16.12;16.06;16.45;16.84;16.793;16.746;16.699;16.652;16.605;16.558;16.511;16.464;16.417;16.45;16.355;16.26;16.165;16.07;15.975;15.88;15.785;15.69;15.595;15.5;15.429;15.357;15.285;15.214;15.143;15.071;15;14.928;14.857;14.785;14.714;14.642;14.571;14.499;14.428;14.356;14.285;14.213;14.142;14.07
136;0;0.905;1.81;2.715;3.62;4.46;5.3;6.08;6.86;7.23;7.6;8.2;8.8;9.489;10.178;10.629;11.08;11.87;12.66;12.953;13.434;13.958;14.488;14.895;15.302;15.698;16.094;16.067;16.04;16.44;16.84;16.793;16.746;16.699;16.652;16.605;16.558;16.511;16.464;16.417;16.45;16.355;16.26;16.165;16.07;15.975;15.88;15.785;15.69;15.595;15.5;15.426;15.352;15.278;15.204;15.13;15.055;14.981;14.907;14.833;14.759;14.685;14.611;14.537;14.463;14.389;14.314;14.24;14.166;14.092;14.018
137;0;0.885;1.77;2.655;3.54;4.37;5.2;6.01;6.82;7.16;7.5;8.1;8.7;9.378;10.056;10.508;10.96;11.74;12.52;12.806;13.278;13.831;14.384;14.797;15.21;15.606;16.008;16.014;16.02;16.43;16.84;16.793;16.746;16.699;16.652;16.605;16.558;16.511;16.464;16.417;16.45;16.355;16.26;16.165;16.07;15.975;15.88;15.785;15.69;15.595;15.5;15.423;15.347;15.27;15.193;15.117;15.04;14.963;14.886;14.81;14.733;14.656;14.58;14.503;14.426;14.35;14.273;14.196;14.119;14.043;13.966
138;0;0.865;1.73;2.595;3.46;4.28;5.1;5.94;6.78;7.09;7.4;8;8.6;9.267;9.934;10.387;10.84;11.61;12.38;12.659;13.122;13.704;14.286;14.708;15.13;15.523;15.922;15.961;16;16.42;16.84;16.793;16.746;16.699;16.652;16.605;16.558;16.511;16.464;16.417;16.45;16.355;16.26;16.165;16.07;15.975;15.88;15.785;15.69;15.595;15.5;15.421;15.341;15.262;15.183;15.104;15.024;14.945;14.866;14.786;14.707;14.628;14.548;14.469;14.39;14.311;14.231;14.152;14.073;13.993;13.914
139;0;0.845;1.69;2.535;3.38;4.19;5;5.87;6.74;7.02;7.3;7.9;8.5;9.156;9.812;10.266;10.72;11.48;12.24;12.512;12.966;13.577;14.188;14.619;15.05;15.444;15.838;15.909;15.98;16.41;16.84;16.793;16.746;16.699;16.652;16.605;16.558;16.511;16.464;16.417;16.45;16.355;16.26;16.165;16.07;15.975;15.88;15.785;15.69;15.595;15.5;15.418;15.336;15.254;15.172;15.091;15.009;14.927;14.845;14.763;14.681;14.599;14.517;14.435;14.353;14.272;14.19;14.108;14.026;13.944;13.862
140;0;0.825;1.65;2.475;3.3;4.1;4.9;5.8;6.7;6.95;7.2;7.8;8.4;9.045;9.69;10.145;10.6;11.35;12.1;12.365;12.81;13.45;14.09;14.53;14.97;15.365;15.76;15.86;15.96;16.4;16.84;16.801;16.762;16.723;16.684;16.645;16.606;16.567;16.528;16.489;16.45;16.355;16.26;16.165;16.07;15.975;15.88;15.785;15.69;15.595;15.5;15.416;15.331;15.247;15.162;15.078;14.993;14.909;14.824;14.74;14.655;14.571;14.486;14.402;14.317;14.233;14.148;14.064;13.979;13.895;13.81
141;0;0.81;1.62;2.43;3.24;4.03;4.82;5.726;6.632;6.876;7.12;7.715;8.31;8.941;9.572;10.036;10.5;11.2;11.9;12.187;12.652;13.302;13.952;14.402;14.852;15.266;15.68;15.82;15.96;16.391;16.822;16.781;16.74;16.698;16.657;16.616;16.575;16.534;16.492;16.451;16.41;16.319;16.228;16.137;16.046;15.955;15.864;15.773;15.682;15.591;15.5;15.413;15.326;15.239;15.152;15.065;14.977;14.89;14.803;14.716;14.629;14.542;14.455;14.368;14.281;14.194;14.106;14.019;13.932;13.845;13.758
142;0;0.795;1.59;2.385;3.18;3.96;4.74;5.652;6.564;6.802;7.04;7.63;8.22;8.837;9.454;9.927;10.4;11.05;11.7;12.009;12.494;13.154;13.814;14.274;14.734;15.167;15.6;15.78;15.96;16.382;16.804;16.761;16.717;16.674;16.63;16.587;16.544;16.5;16.457;16.413;16.37;16.283;16.196;16.109;16.022;15.935;15.848;15.761;15.674;15.587;15.5;15.41;15.321;15.231;15.141;15.052;14.962;14.872;14.782;14.693;14.603;14.513;14.424;14.334;14.244;14.154;14.065;13.975;13.885;13.796;13.706
143;0;0.78;1.56;2.34;3.12;3.89;4.66;5.578;6.496;6.728;6.96;7.545;8.13;8.733;9.336;9.818;10.3;10.9;11.5;11.831;12.336;13.006;13.676;14.146;14.616;15.068;15.52;15.74;15.96;16.373;16.786;16.74;16.695;16.649;16.604;16.558;16.512;16.467;16.421;16.376;16.33;16.247;16.164;16.081;15.998;15.915;15.832;15.749;15.666;15.583;15.5;15.408;15.315;15.223;15.131;15.039;14.946;14.854;14.762;14.669;14.577;14.485;14.392;14.3;14.208;14.116;14.023;13.931;13.839;13.746;13.654
